DSW,THC,LMS,SS,LX,YLG,CH,Q,DSW,THC,LMS,SS,LX,YLG,CH,Q,DSW,THC,LMS,SS,LX,YLG,CH,Q,DSW,THC,LMS,SS,LX,YLG,CH,Q,DSW,THC,LMS,SS,LX,YLG,CH,Q,DSW,THC,LMS,SS,LX,YLG,CH,Q,DSW,THC,LMS,SS,LX,YLG,CH,Q,DSW,THC,LMS,SS,LX,YLG,CH,Q,DSW,THC,LMS,SS,LX,YLG,CH,Q,DSW,THC,LMS,SS,LX,YLG,CH,Q,DSW,THC,LMS,SS,LX,YLG,CH,Q,DSW,THC,LMS,SS,LX,YLG,CH,Q,q_t+1
0,0,0.7,1.8,0,0.1,0,94.1,0,0,0.7,1.8,0,0.1,0,105.55,0,0,0.7,1.8,0,0.1,0,117,0,0,0.7,1.8,0,0.1,0,123,0,0,0.7,1.8,0,0.1,0,123,19,13,0.7,0.1,0,0.1,0,129,0,0,0.7,0.1,0,0.1,0,126,0,0,0.7,0.1,0,0.1,0,123,8,8,10,11.3,2,1.23,1,131,0,0,1.15,0.8,1,1.23,5,172.5,0,0,1.15,0.8,1,1.23,5,214,0,1,0.9,0.4,0,0.1,0,469,557.79
0,0,0.7,1.8,0,0.1,0,105.55,0,0,0.7,1.8,0,0.1,0,117,0,0,0.7,1.8,0,0.1,0,123,19,13,0.7,0.1,0,0.1,0,129,19,13,0.7,0.1,0,0.1,0,129,0,0,0.7,0.1,0,0.1,0,126,0,0,0.7,0.1,0,0.1,0,123,8,8,10,11.3,2,1.23,1,131,0,0,1.15,0.8,1,1.23,5,172.5,0,0,1.15,0.8,1,1.23,5,214,0,1,0.9,0.4,0,0.1,0,469,1,1,0.9,0.4,0,0.1,0,557.79,547.25
0,0,0.7,1.8,0,0.1,0,117,0,0,0.7,1.8,0,0.1,0,123,19,13,0.7,0.1,0,0.1,0,129,0,0,0.7,0.1,0,0.1,0,126,0,0,0.7,0.1,0,0.1,0,126,0,0,0.7,0.1,0,0.1,0,123,8,8,10,11.3,2,1.23,1,131,0,0,1.15,0.8,1,1.23,5,172.5,0,0,1.15,0.8,1,1.23,5,214,0,1,0.9,0.4,0,0.1,0,469,1,1,0.9,0.4,0,0.1,0,557.79,1,1,0.9,0.4,0,0.1,0,547.25,488.5
0,0,0.7,1.8,0,0.1,0,123,19,13,0.7,0.1,0,0.1,0,129,0,0,0.7,0.1,0,0.1,0,126,0,0,0.7,0.1,0,0.1,0,123,0,0,0.7,0.1,0,0.1,0,123,8,8,10,11.3,2,1.23,1,131,0,0,1.15,0.8,1,1.23,5,172.5,0,0,1.15,0.8,1,1.23,5,214,0,1,0.9,0.4,0,0.1,0,469,1,1,0.9,0.4,0,0.1,0,557.79,1,1,0.9,0.4,0,0.1,0,547.25,0,0,0.9,0.4,0,0.1,0,488.5,429.75
19,13,0.7,0.1,0,0.1,0,129,0,0,0.7,0.1,0,0.1,0,126,0,0,0.7,0.1,0,0.1,0,123,8,8,10,11.3,2,1.23,1,131,8,8,10,11.3,2,1.23,1,131,0,0,1.15,0.8,1,1.23,5,172.5,0,0,1.15,0.8,1,1.23,5,214,0,1,0.9,0.4,0,0.1,0,469,1,1,0.9,0.4,0,0.1,0,557.79,1,1,0.9,0.4,0,0.1,0,547.25,0,0,0.9,0.4,0,0.1,0,488.5,0,0,0.9,0.4,0,0.1,0,429.75,371
0,0,0.7,0.1,0,0.1,0,126,0,0,0.7,0.1,0,0.1,0,123,8,8,10,11.3,2,1.23,1,131,0,0,1.15,0.8,1,1.23,5,172.5,0,0,1.15,0.8,1,1.23,5,172.5,0,0,1.15,0.8,1,1.23,5,214,0,1,0.9,0.4,0,0.1,0,469,1,1,0.9,0.4,0,0.1,0,557.79,1,1,0.9,0.4,0,0.1,0,547.25,0,0,0.9,0.4,0,0.1,0,488.5,0,0,0.9,0.4,0,0.1,0,429.75,0,0,0.9,0.4,0,0.1,0,371,345.33
0,0,0.7,0.1,0,0.1,0,123,8,8,10,11.3,2,1.23,1,131,0,0,1.15,0.8,1,1.23,5,172.5,0,0,1.15,0.8,1,1.23,5,214,0,0,1.15,0.8,1,1.23,5,214,0,1,0.9,0.4,0,0.1,0,469,1,1,0.9,0.4,0,0.1,0,557.79,1,1,0.9,0.4,0,0.1,0,547.25,0,0,0.9,0.4,0,0.1,0,488.5,0,0,0.9,0.4,0,0.1,0,429.75,0,0,0.9,0.4,0,0.1,0,371,0,0,0.9,0.4,0,0.1,0,345.33,319.66
8,8,10,11.3,2,1.23,1,131,0,0,1.15,0.8,1,1.23,5,172.5,0,0,1.15,0.8,1,1.23,5,214,0,1,0.9,0.4,0,0.1,0,469,0,1,0.9,0.4,0,0.1,0,469,1,1,0.9,0.4,0,0.1,0,557.79,1,1,0.9,0.4,0,0.1,0,547.25,0,0,0.9,0.4,0,0.1,0,488.5,0,0,0.9,0.4,0,0.1,0,429.75,0,0,0.9,0.4,0,0.1,0,371,0,0,0.9,0.4,0,0.1,0,345.33,0,0,0.9,0.4,0,0.1,0,319.66,294
0,0,1.15,0.8,1,1.23,5,172.5,0,0,1.15,0.8,1,1.23,5,214,0,1,0.9,0.4,0,0.1,0,469,1,1,0.9,0.4,0,0.1,0,557.79,1,1,0.9,0.4,0,0.1,0,557.79,1,1,0.9,0.4,0,0.1,0,547.25,0,0,0.9,0.4,0,0.1,0,488.5,0,0,0.9,0.4,0,0.1,0,429.75,0,0,0.9,0.4,0,0.1,0,371,0,0,0.9,0.4,0,0.1,0,345.33,0,0,0.9,0.4,0,0.1,0,319.66,0,0,0.9,0.4,0,0.1,0,294,268.33
0,0,1.15,0.8,1,1.23,5,214,0,1,0.9,0.4,0,0.1,0,469,1,1,0.9,0.4,0,0.1,0,557.79,1,1,0.9,0.4,0,0.1,0,547.25,1,1,0.9,0.4,0,0.1,0,547.25,0,0,0.9,0.4,0,0.1,0,488.5,0,0,0.9,0.4,0,0.1,0,429.75,0,0,0.9,0.4,0,0.1,0,371,0,0,0.9,0.4,0,0.1,0,345.33,0,0,0.9,0.4,0,0.1,0,319.66,0,0,0.9,0.4,0,0.1,0,294,0,0,0.9,0.1,0,0.1,0,268.33,242.66
